ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
6/27/2013,36,79469,436,Employed,Bachelor,15,12634,60,Married,3,Own,356,0.391844597,1,1,0.570967826,0,Education,0,31,16,5406,1149,14666,52173,6622.416667,0.826624773,7,3717,0.299634,0.283064348,395.7088637,0.113509751,1,46.4
6/28/2013,54,27986,645,Employed,Bachelor,32,31899,12,Married,3,Own,249,0.298025662,3,2,0.052601896,0,Auto,0,35,24,3519,766,45509,8292,2332.166667,0.797069799,4,37217,0.174399,0.177710961,2921.02619,1.359262284,0,49
6/29/2013,41,35642,596,Employed,Associate,21,36084,72,Married,0,Own,712,0.454234786,4,1,0.180730582,0,Home,0,19,28,855,277,137798,59099,2970.166667,0.777632202,3,78699,0.253084,0.260094769,994.4717637,0.574537376,0,50
6/30/2013,67,148702,599,Self-Employed,Master,45,13315,24,Married,3,Rent,224,0.256667247,1,0,0.111797195,0,Debt Consolidation,0,31,22,1692,753,64110,9541,12391.83333,0.709383025,5,54569,0.188815,0.166696657,656.2122789,0.071031643,1,39.2
7/1/2013,44,59379,626,Employed,Bachelor,19,22449,84,Married,0,Rent,1112,0.338510054,2,1,0.10751498,0,Auto,0,19,10,7122,351,685046,7262,4948.25,0.880302047,2,677784,0.234449,0.1875592,481.8279135,0.322099311,1,31.2
7/2/2013,42,26359,524,Employed,Master,18,20870,48,Married,3,Own,546,0.215273873,2,1,0.212570573,0,Other,0,32,3,7200,937,52804,6248,2196.583333,0.899812435,6,46556,0.25387,0.216490825,653.5623179,0.546103715,0,57
7/3/2013,36,26806,616,Employed,Bachelor,11,38871,36,Single,0,Mortgage,264,0.515230058,3,2,0.056793725,0,Debt Consolidation,0,20,10,3469,1275,94745,5202,2233.833333,0.866056408,3,89543,0.215871,0.224630496,1493.828805,0.786911351,0,48
7/4/2013,41,82104,643,Employed,High School,19,27410,72,Married,3,Own,351,0.156391504,3,1,0.581172222,0,Education,0,25,7,360,1218,9056,3905,6842,0.900620814,5,5151,0.22091,0.213471335,678.125248,0.150412927,0,54
7/5/2013,38,86733,586,Unemployed,Bachelor,13,31457,36,Married,2,Own,315,0.385803064,1,4,0.347293885,0,Home,0,22,27,2643,453,20016,46346,7227.75,0.769792104,3,10519,0.223457,0.1787656,1135.298925,0.200657041,1,44.8
7/6/2013,48,49936,573,Employed,Associate,26,18316,48,Married,0,Own,430,0.473222672,4,3,0.267019654,0,Other,0,18,6,8559,885,75117,22980,4161.333333,0.899956725,5,52137,0.226816,0.22084816,577.9090333,0.242208194,0,54
7/7/2013,51,258902,595,Employed,Bachelor,26,27081,60,Single,2,Other,389,0.224635637,4,0,0.1123103,0,Home,0,22,9,10008,592,91872,6357,21575.16667,0.704213793,5,85515,0.234581,0.230267404,763.8422614,0.053433759,1,37.6
7/8/2013,30,82030,588,Employed,Associate,8,34068,48,Married,0,Rent,602,0.297020831,4,0,0.259293641,0,Education,0,21,24,4492,1120,85319,51925,6835.833333,0.511242009,6,33394,0.235068,0.228405943,1088.956318,0.247366522,0,51
7/9/2013,24,38572,529,Employed,Master,0,70116,36,Single,0,Rent,401,0.262347522,4,2,0.511359652,0,Home,0,26,8,1580,744,133354,5748,3214.333333,0.656427126,1,127606,0.290616,0.310345688,3016.405123,1.063176954,0,56
7/10/2013,18,24044,510,Employed,Bachelor,0,16805,48,Single,1,Rent,378,0.263546365,6,1,0.290489681,0,Home,0,19,15,904,5241,14152,11613,2003.666667,0.909794703,8,2539,0.256805,0.255894859,562.7449552,0.469511706,0,54
7/11/2013,46,26366,623,Employed,Bachelor,24,18351,24,Married,4,Own,350,0.164296199,1,1,0.302401735,0,Home,0,29,9,2885,637,36436,47505,2197.166667,0.855949336,8,10660,0.181851,0.213475056,946.1132968,0.58990213,0,53
7/12/2013,26,53031,594,Employed,High School,3,15224,60,Married,3,Rent,618,0.124797673,3,2,0.047557209,0,Other,0,17,1,2959,1431,195945,40489,4419.25,0.837911524,6,155456,0.223224,0.239534269,437.552061,0.238853213,0,49
7/13/2013,18,33982,552,Unemployed,Doctorate,0,17613,36,Single,3,Own,729,0.554246685,1,1,0.113514446,0,Auto,0,20,29,4295,1456,36485,31728,2831.833333,0.855822211,9,4757,0.226613,0.241422199,692.3241386,0.50190953,0,55
7/14/2013,44,156796,602,Self-Employed,Master,22,43959,48,Single,3,Rent,229,0.012137042,2,0,0.215855428,0,Home,0,29,28,1661,9326,13424,38564,13066.33333,0.861216584,4,6335,0.237959,0.260325914,1482.985244,0.131022621,1,39.2
7/15/2013,69,141215,509,Self-Employed,Bachelor,49,14553,60,Married,1,Other,649,0.515906941,2,1,0.393181237,0,Home,0,22,16,2809,1650,167759,353027,11767.91667,0.57226562,8,6225,0.265053,0.226326519,407.1902686,0.089751678,1,44.8
7/16/2013,39,55939,472,Employed,Associate,12,26764,96,Married,1,Own,798,0.377973465,4,0,0.225357198,0,Auto,0,16,10,4152,1067,23904,16751,4661.583333,0.850945862,5,7153,0.325764,0.361016979,854.8577245,0.354570026,0,52
7/17/2013,50,26691,545,Employed,Bachelor,28,36276,24,Single,3,Rent,303,0.778387455,4,0,0.217380453,0,Home,0,19,19,4269,2103,277133,25473,2224.25,0.817223317,4,251660,0.238776,0.24859067,1933.541096,1.005525951,0,50
7/18/2013,40,25724,573,Employed,High School,17,40116,96,Single,0,Mortgage,368,0.346995436,3,0,0.34383802,0,Auto,0,22,25,1953,162,8346,41690,2143.666667,0.806537746,2,3121,0.288616,0.290565518,1079.982357,0.675469923,0,56
7/19/2013,38,97370,483,Employed,Bachelor,13,45579,36,Single,5,Other,360,0.140645216,2,0,0.227272007,0,Auto,0,30,26,1134,10229,75454,18290,8114.166667,0.635243208,10,57164,0.289079,0.282089397,1890.45968,0.277349452,0,48
7/20/2013,51,40431,650,Employed,High School,30,27869,72,Divorced,2,Other,524,0.322619945,7,0,0.211320622,0,Home,0,29,17,38737,903,244258,125128,3369.25,0.899109246,8,119130,0.217869,0.221528635,702.7709926,0.364108034,0,43
7/21/2013,36,103325,602,Self-Employed,Bachelor,16,26541,24,Married,1,Rent,302,0.146443782,1,1,0.179318575,0,Auto,0,25,27,1905,294,31992,8870,8610.416667,0.86921677,2,23122,0.200541,0.1604328,1300.07884,0.18606287,1,38.4
7/22/2013,43,75998,572,Employed,Bachelor,20,16578,120,Divorced,0,Other,716,0.225585921,3,1,0.404469759,0,Education,0,31,26,13907,688,79824,11255,6333.166667,0.871943609,8,68569,0.285578,0.326312716,469.5712318,0.187200384,0,54
7/23/2013,43,55309,617,Employed,Associate,24,8228,72,Married,0,Rent,125,0.327176832,4,3,0.350460873,0,Debt Consolidation,0,23,3,1791,2179,271095,6838,4609.083333,0.645446456,2,264257,0.214728,0.207193384,200.5296532,0.070627851,1,38.4
7/24/2013,31,28272,579,Employed,Associate,9,16354,24,Widowed,2,Mortgage,384,0.186446039,3,2,0.271346295,0,Home,0,16,18,2592,16202,29251,26844,2356,0.88863723,5,2407,0.201854,0.222130957,850.1373012,0.523827377,0,53
7/25/2013,51,54595,541,Employed,Master,28,23850,36,Married,1,Own,357,0.378621063,2,1,0.607603406,0,Auto,0,19,12,3479,381,99599,42066,4549.583333,0.758023698,3,57533,0.23835,0.25146527,950.1211127,0.287305675,0,56
7/26/2013,37,47960,614,Employed,High School,15,36563,48,Married,1,Own,300,0.217718841,2,1,0.11993237,0,Home,0,26,23,3878,1355,48669,22593,3996.666667,0.694946789,6,26076,0.224563,0.240979678,1194.002033,0.373812018,0,48
7/27/2013,30,91391,610,Self-Employed,Bachelor,11,46661,48,Married,0,Own,512,0.357284727,4,3,0.268678878,0,Education,0,26,1,1013,1063,191317,62559,7615.916667,0.743573319,2,128758,0.236661,0.225399887,1483.818143,0.262058821,0,51
7/28/2013,46,24156,513,Employed,High School,20,22098,60,Single,1,Rent,415,0.141448686,2,1,0.392556225,0,Home,0,15,16,19237,1081,23888,22888,2013,0.747087248,1,6241,0.270598,0.279622032,687.5355696,0.547707685,0,55
7/29/2013,29,33305,600,Unemployed,High School,6,38646,48,Single,2,Mortgage,454,0.285491148,6,0,0.114563723,0,Auto,0,23,15,3503,251,18466,30266,2775.416667,0.905589415,7,9437,0.233646,0.214101063,1205.241235,0.597835004,0,51
7/30/2013,40,39870,498,Employed,High School,15,23949,60,Single,1,Own,496,0.113805951,2,0,0.442037078,0,Education,0,21,4,1565,311,31500,21156,3322.5,0.869187993,6,10344,0.279949,0.236484084,684.0852584,0.355179912,0,59
7/31/2013,39,74580,615,Employed,Bachelor,17,24441,36,Married,0,Rent,1014,0.546089843,1,1,0.393214984,0,Auto,1,20,27,11942,1868,47767,37374,6215,0.839100721,6,10393,0.201941,0.190550013,896.5895985,0.307415865,0,58
8/1/2013,53,29547,598,Employed,Associate,32,18965,36,Married,1,Rent,1261,0.182050379,3,0,0.219429131,0,Home,0,34,9,11389,387,39826,55805,2462.25,0.726535963,4,4691,0.204965,0.224336602,728.5435773,0.80801851,0,54
8/2/2013,45,22824,593,Self-Employed,Master,22,17365,12,Married,0,Rent,255,0.266434704,1,2,0.643209871,0,Auto,0,20,1,1863,337,49583,39303,1902,0.788616102,5,10280,0.185865,0.175846848,1588.592828,0.969291708,0,67
8/3/2013,39,58435,512,Employed,Bachelor,17,16466,36,Divorced,0,Own,228,0.396904499,2,1,0.290454224,0,Home,0,38,21,4024,12266,169967,12037,4869.583333,0.505966057,1,157930,0.245466,0.208039526,618.7014559,0.173875545,1,38.4
8/4/2013,49,17073,616,Employed,High School,29,16728,48,Divorced,2,Rent,343,0.228969628,5,0,0.391311303,0,Debt Consolidation,1,20,17,1367,707,234107,7274,1422.75,0.900449063,5,226833,0.203728,0.18199568,493.1311582,0.587686634,0,55
8/5/2013,56,145684,585,Employed,Bachelor,31,15722,60,Widowed,2,Other,263,0.517538476,1,3,0.239246582,0,Debt Consolidation,1,22,28,3253,1833,18589,32721,12140.33333,0.606380533,7,4479,0.228222,0.270737869,480.7700249,0.061264382,1,45.6
8/6/2013,46,40059,572,Employed,High School,25,33694,72,Married,1,Rent,497,0.250764977,3,0,0.344853083,0,Home,0,21,8,1974,228,37370,40321,3338.25,0.774316718,5,6103,0.262694,0.239883983,886.8189463,0.414534246,0,56
8/7/2013,40,22452,617,Employed,Bachelor,21,41540,36,Married,2,Mortgage,380,0.521758212,4,1,0.176015036,0,Debt Consolidation,0,23,2,1151,458,17575,53425,1871,0.936579974,5,8844,0.21804,0.226621404,1600.696075,1.05862965,0,54
8/8/2013,24,21438,541,Employed,High School,0,15069,48,Married,2,Mortgage,577,0.347786983,1,2,0.536214073,0,Auto,0,18,5,1296,1847,60105,5702,1786.5,0.811082744,6,54403,0.239569,0.205344526,462.857017,0.582063821,0,60
8/9/2013,27,47799,435,Employed,Associate,6,14097,36,Married,0,Own,384,0.166085746,9,1,0.183239595,0,Home,0,32,23,18965,640,35623,17379,3983.25,0.716925194,5,18244,0.281597,0.329177272,621.1894331,0.252354091,0,50
8/10/2013,36,31474,481,Employed,Bachelor,15,20066,108,Married,0,Mortgage,545,0.213856991,3,1,0.302570638,0,Auto,0,20,17,5916,2425,117158,9662,2622.833333,0.716570678,9,107496,0.324566,0.376731625,653.1392258,0.456811041,0,51
8/11/2013,32,56969,622,Employed,Doctorate,13,14237,60,Married,0,Other,599,0.388293088,3,1,0.237408275,0,Auto,0,14,13,5780,447,97223,12850,4747.416667,0.754995672,4,84373,0.208237,0.177870488,359.8789668,0.201979104,1,37.6
8/12/2013,37,85870,605,Employed,Associate,11,13243,60,Single,5,Mortgage,271,0.171883218,4,4,0.277513219,0,Auto,0,28,11,8558,457,109649,58118,7155.833333,0.745487436,9,51531,0.215743,0.235913359,377.8393691,0.090672789,1,36
8/13/2013,40,52489,607,Employed,Master,20,18501,48,Married,0,Mortgage,161,0.524557538,4,2,0.266032433,0,Auto,0,23,15,253,1827,102515,25483,4374.083333,0.633401284,3,77032,0.210001,0.213463941,576.3489003,0.168572211,1,38.4
8/14/2013,46,29774,557,Employed,High School,23,24878,36,Married,3,Mortgage,378,0.570087282,4,2,0.489639521,0,Education,0,16,7,342,406,310773,4338,2481.166667,0.706229186,7,306435,0.231378,0.241244837,977.6616948,0.546380746,0,54
8/15/2013,39,44221,617,Employed,Master,15,24724,36,Married,3,Mortgage,319,0.449375585,3,2,0.26738512,0,Home,0,21,16,318,71,40441,12492,3685.083333,0.874002118,6,27949,0.201224,0.213617227,936.0764683,0.340582927,0,51
8/16/2013,45,141212,544,Unemployed,Bachelor,22,18831,60,Single,2,Mortgage,474,0.279418595,2,1,0.481266482,0,Home,0,24,18,3087,1423,145705,15867,11767.66667,0.969799145,7,129838,0.251831,0.239025962,540.6654423,0.086224863,1,42.4
8/17/2013,40,142195,544,Unemployed,High School,18,16945,96,Single,1,Rent,499,0.198228654,6,0,0.315575326,0,Other,0,28,12,6488,388,41281,32482,11849.58333,0.91900539,2,8799,0.279945,0.295902655,462.4527854,0.081138109,0,54
8/18/2013,18,15000,569,Self-Employed,Associate,0,29863,36,Married,2,Own,302,0.076020615,2,0,0.12916898,0,Home,0,23,29,8779,364,102671,11376,1250,0.916367777,1,91295,0.230363,0.248072546,1184.305549,1.189044439,0,52
8/19/2013,28,70745,489,Employed,High School,7,26748,60,Single,0,Own,555,0.572185758,1,1,0.248394909,0,Debt Consolidation,0,22,22,4156,1361,43647,33008,5895.416667,0.826427739,6,10639,0.287248,0.304301345,872.4688996,0.242131978,0,53
8/20/2013,38,46344,599,Employed,Associate,15,24007,48,Married,0,Mortgage,551,0.142221035,0,2,0.119437756,0,Home,0,44,25,10841,3239,55187,54591,3862,0.893182447,2,4262,0.219507,0.215155425,750.0664752,0.3368893,0,50
8/21/2013,25,63717,552,Employed,High School,4,16611,60,Widowed,1,Mortgage,231,0.484624793,2,1,0.189422748,0,Education,0,25,9,619,3283,27907,21454,5309.75,0.867929287,6,6453,0.245611,0.2947332,532.060958,0.143709395,0,52
8/22/2013,47,39155,651,Employed,Bachelor,24,42896,60,Married,3,Rent,231,0.253801395,4,1,0.265112599,0,Home,0,25,23,2687,10782,131304,35218,3262.916667,0.759837955,5,96086,0.222396,0.256031435,1274.267501,0.461325757,0,45
8/23/2013,58,28369,650,Employed,Doctorate,34,11437,36,Married,2,Mortgage,531,0.140936978,4,2,0.032735211,0,Home,0,28,28,533,1523,79151,18673,2364.083333,0.528405781,6,60478,0.171437,0.164244603,404.4917986,0.395710162,1,34.4
8/24/2013,54,58359,603,Employed,High School,30,16653,60,Married,3,Rent,268,0.283561435,4,3,0.099988155,0,Debt Consolidation,0,18,20,2639,2250,154408,25475,4863.25,0.93304123,7,128933,0.220153,0.196264112,437.7481261,0.145118619,1,34.4
8/25/2013,37,29163,573,Employed,Bachelor,17,13449,36,Married,3,Rent,829,0.501262196,2,1,0.500831212,1,Debt Consolidation,0,22,25,14771,500,148227,15760,2430.25,0.846883565,5,132467,0.211949,0.203462962,502.1892309,0.547758145,0,69
8/26/2013,57,20161,588,Employed,Bachelor,30,22045,60,Married,2,Own,348,0.223059184,5,2,0.457287288,0,Auto,0,30,17,961,213,44995,8515,1680.083333,0.815648982,2,36480,0.233045,0.279654,685.9290801,0.61540345,0,58
8/27/2013,41,23973,609,Employed,Master,17,15777,36,Divorced,1,Mortgage,614,0.177954387,3,0,0.222845662,0,Other,0,18,29,155,173,550908,5999,1997.75,0.873046141,9,544909,0.196277,0.1570216,552.3553861,0.583834507,1,33.6
8/28/2013,35,72820,623,Employed,Bachelor,13,23088,24,Married,3,Rent,287,0.080916795,2,2,0.272341528,0,Home,0,18,12,8080,2855,61463,17225,6068.333333,0.838190069,3,44238,0.186588,0.158888188,1129.234167,0.233381077,1,38.4
8/29/2013,32,53297,583,Employed,Bachelor,7,28618,24,Married,0,Mortgage,298,0.648086477,4,0,0.156845669,0,Home,0,26,9,2906,1827,311079,100267,4441.416667,0.99072899,7,210812,0.212118,0.215192984,1477.864324,0.399841865,0,49
8/30/2013,36,73732,599,Employed,Associate,9,41456,72,Married,0,Mortgage,189,0.230717762,6,0,0.221320606,0,Other,0,24,6,7794,836,20706,16264,6144.333333,0.784024619,4,4442,0.256956,0.252311108,1122.593866,0.213463983,0,54
8/31/2013,35,64872,557,Employed,High School,15,24520,24,Married,0,Own,325,0.317375735,2,2,0.712112195,0,Education,0,26,1,934,2080,165636,30993,5406,0.538111184,6,134643,0.22102,0.265224,1327.473545,0.305673982,0,58
9/1/2013,42,35817,602,Employed,High School,20,24332,36,Married,2,Own,270,0.065340288,2,0,0.322733064,0,Education,0,21,17,2702,1302,47204,17435,2984.75,0.871437295,7,29769,0.208332,0.211053077,918.0258707,0.398031953,0,51
9/2/2013,41,47315,584,Self-Employed,Associate,23,27313,36,Married,3,Rent,191,0.203847018,0,1,0.265470981,0,Auto,0,23,16,6143,311,841562,35216,3942.916667,0.937558962,4,806346,0.220313,0.231017609,1058.727801,0.316955165,1,38.4
9/3/2013,40,27985,522,Employed,High School,17,7027,24,Single,2,Mortgage,385,0.331355266,2,3,0.371563542,0,Home,1,22,14,5004,1241,28076,21248,2332.083333,0.933672331,2,6828,0.221027,0.248717501,374.5896539,0.325712912,0,62
9/4/2013,45,38185,534,Employed,Bachelor,22,22668,60,Single,1,Rent,795,0.105940722,3,2,0.140128699,0,Home,0,27,19,36138,3258,45174,10167,3182.083333,0.924377643,3,35007,0.260668,0.260828066,679.8022483,0.463470655,0,50
9/5/2013,54,27899,608,Self-Employed,Associate,32,12661,72,Married,2,Rent,278,0.178650963,3,1,0.117652196,0,Education,0,29,26,3627,3147,258557,18785,2324.916667,0.515503437,4,239772,0.223661,0.212713439,312.6689824,0.254060281,0,47
9/6/2013,51,70645,658,Employed,Bachelor,30,15922,120,Divorced,2,Own,357,0.375401576,2,3,0.302034919,0,Home,0,24,18,609,2577,55423,10030,5887.083333,0.704041944,7,45393,0.241922,0.239006751,349.9476493,0.120084532,0,48
9/7/2013,22,81017,571,Employed,High School,4,20743,96,Divorced,3,Rent,906,0.384550044,6,0,0.3936958,0,Debt Consolidation,0,17,23,1702,915,49999,63289,6751.416667,0.788652318,3,6935,0.270243,0.2420286,490.4954888,0.206844809,0,53
9/8/2013,18,28632,527,Employed,Master,0,35462,12,Married,1,Rent,489,0.402934067,4,0,0.304826434,0,Debt Consolidation,0,21,5,2234,138,113436,10018,2386,0.822828835,4,103418,0.236962,0.227230294,3331.396171,1.601171907,0,55
9/9/2013,51,125792,647,Employed,Master,26,9102,36,Single,1,Other,321,0.362122919,1,2,0.362489445,0,Auto,0,16,1,3867,1650,41730,41548,10482.66667,0.831357115,2,6747,0.170602,0.190008632,333.6470667,0.062450432,1,42.4
9/10/2013,23,41181,431,Employed,High School,2,24823,48,Divorced,0,Mortgage,217,0.282708053,1,0,0.418039524,0,Debt Consolidation,0,35,28,1089,2096,104726,2875,3431.75,0.878990199,5,101851,0.304323,0.328372827,935.2006574,0.335747259,0,53
9/11/2013,37,51206,491,Employed,Associate,14,23197,84,Married,2,Mortgage,312,0.226904067,3,2,0.416780406,0,Education,0,34,21,3810,1651,29986,6827,4267.166667,0.832173645,5,23159,0.302697,0.320933837,696.2349271,0.236277372,0,56
9/12/2013,25,18013,503,Employed,Bachelor,6,27324,48,Single,3,Mortgage,260,0.401835988,4,1,0.280057877,0,Education,0,24,19,3872,1910,89013,7019,1501.083333,0.914721274,4,81994,0.270824,0.236852729,886.0650651,0.763491966,0,53
9/13/2013,18,15000,583,Employed,High School,0,67399,60,Divorced,1,Rent,278,0.081824896,7,2,0.152549545,0,Home,0,24,19,3333,1791,28972,19784,1250,0.883861409,5,9188,0.280899,0.320812624,2267.527951,2.03642236,0,51
9/14/2013,46,65840,558,Employed,Associate,24,47965,60,Married,1,Mortgage,331,0.238264831,1,3,0.656728944,0,Debt Consolidation,0,18,26,6623,519,64981,10105,5486.666667,0.782546781,2,54876,0.273965,0.298439993,1547.237712,0.342327651,0,56
9/15/2013,49,75384,591,Employed,High School,28,25478,36,Divorced,1,Rent,301,0.326873202,5,2,0.541501772,0,Home,0,34,4,2693,3455,44818,80573,6282,0.911451596,4,8598,0.214978,0.209205964,958.8469713,0.200548706,0,61
9/16/2013,33,36534,554,Employed,Master,12,29153,60,Single,2,Mortgage,172,0.490155964,2,0,0.180310491,0,Auto,0,19,17,2479,1575,59309,17928,3044.5,0.870027232,8,41381,0.257153,0.283350609,913.6045593,0.356578932,0,52
9/17/2013,18,148897,483,Employed,Master,0,21626,24,Divorced,1,Rent,379,0.390240785,6,1,0.313837055,0,Home,0,28,2,6504,928,43681,10901,12408.08333,0.959151968,6,32780,0.255126,0.267189229,1172.947423,0.125075516,1,44.8
9/18/2013,33,73385,513,Employed,Bachelor,10,32199,48,Married,2,Mortgage,305,0.383963144,2,1,0.138898804,0,Home,0,29,22,1240,545,159383,22795,6115.416667,0.984808954,3,136588,0.270699,0.273957682,1111.099678,0.231562256,0,46
9/19/2013,44,33461,628,Employed,Bachelor,24,22421,48,Single,4,Mortgage,301,0.182048603,2,2,0.198069425,1,Auto,0,22,21,3100,742,118528,79701,2788.416667,0.865725858,5,38827,0.203421,0.209443671,693.6111203,0.356693866,0,59
9/20/2013,22,42632,564,Employed,Master,0,27272,48,Married,1,Mortgage,402,0.503105345,4,1,0.366065305,0,Education,0,21,10,2364,1749,49615,4630,3552.666667,0.97271043,2,44985,0.240272,0.286456159,960.5895963,0.38353995,0,56
9/21/2013,42,242623,606,Employed,Master,20,15800,36,Married,0,Mortgage,303,0.318830787,4,0,0.194607966,0,Debt Consolidation,0,22,6,5117,9867,61444,58856,20218.58333,0.832281548,5,2588,0.1978,0.207495288,593.2360955,0.044327344,1,37.6
9/22/2013,39,32025,609,Employed,Doctorate,19,24717,72,Single,3,Own,453,0.325315619,4,2,0.538288175,0,Education,0,24,6,55821,2561,79740,123385,2668.75,0.935526872,6,4657,0.235217,0.26607637,690.3948994,0.42843837,0,58
9/23/2013,46,55534,605,Employed,High School,20,43520,84,Married,0,Other,385,0.395724233,1,1,0.517904828,0,Home,0,20,23,5442,775,35794,21649,4627.833333,0.779126173,9,14145,0.26602,0.293057358,1224.113867,0.347703504,0,55
9/24/2013,41,35446,578,Employed,High School,20,29257,84,Married,5,Mortgage,368,0.269225713,4,1,0.600359193,0,Education,0,20,11,1140,555,244977,13297,2953.833333,0.731220827,1,231680,0.265257,0.255263187,750.4163056,0.378632163,0,55
9/25/2013,28,60043,474,Employed,Bachelor,7,23348,48,Married,3,Rent,342,0.183243308,6,3,0.222908501,0,Other,0,24,24,19626,701,57292,13844,5003.583333,0.763182147,6,43448,0.281348,0.305355316,847.9557713,0.237820716,0,51
9/26/2013,54,148845,642,Unemployed,Bachelor,33,5163,36,Married,1,Rent,254,0.457825926,3,2,0.259270054,0,Debt Consolidation,0,18,3,8364,1603,158761,69633,12403.75,0.911201272,7,89128,0.169163,0.177172114,185.9232087,0.035466952,1,41.6
9/27/2013,38,36334,479,Employed,High School,12,26684,24,Married,2,Own,515,0.271595746,3,0,0.250032931,1,Auto,0,28,21,3763,754,5630,106724,3027.833333,0.859903806,2,8776,0.262184,0.256260193,1432.56071,0.643219258,0,65
9/28/2013,39,83261,525,Employed,High School,15,21086,60,Single,0,Own,623,0.242803791,3,0,0.272157811,0,Debt Consolidation,0,27,28,3517,224,5164,57597,6938.416667,0.935873485,7,1246,0.263586,0.23837599,604.6153124,0.17693018,1,40.8
9/29/2013,28,201239,636,Unemployed,Master,7,12880,36,Single,0,Rent,293,0.577136821,0,2,0.175694301,0,Auto,0,29,29,5373,3892,396863,32495,16769.91667,0.906746229,5,364368,0.17988,0.170764842,459.6975567,0.044883798,1,34.4
9/30/2013,34,55666,587,Employed,Master,9,21299,36,Married,1,Other,483,0.071568079,4,1,0.021808364,0,Home,0,26,3,2879,299,77797,8596,4638.833333,0.737578722,0,69201,0.212799,0.202368781,794.1202026,0.275310646,0,50
10/1/2013,29,77200,603,Employed,Associate,6,21350,48,Single,1,Own,282,0.210239016,1,1,0.242460787,0,Debt Consolidation,0,23,15,2611,6613,109298,5446,6433.333333,0.825789002,4,103852,0.21485,0.201026506,650.8564757,0.145003597,1,36
10/2/2013,37,35805,590,Self-Employed,Master,14,22092,60,Married,4,Other,209,0.376323372,4,2,0.072973956,1,Home,0,31,28,1316,5846,186997,19668,2983.75,0.768710686,6,167329,0.232092,0.240018561,635.5657025,0.283055116,0,62
10/3/2013,60,65292,617,Employed,Bachelor,38,31967,36,Married,2,Mortgage,253,0.043720193,3,2,0.412790869,0,Home,0,20,6,618,1625,90178,21437,5441,0.655059069,7,68741,0.208467,0.210437607,1205.077244,0.267979644,0,52
10/4/2013,23,47977,621,Employed,Master,2,19817,108,Divorced,2,Mortgage,223,0.362512708,3,2,0.333771136,0,Home,0,34,5,3133,784,90342,20098,3998.083333,0.876071926,7,70244,0.254317,0.238325867,447.0227353,0.167585985,0,52
10/5/2013,20,72270,543,Employed,Associate,0,19484,60,Single,0,Mortgage,790,0.267288276,2,2,0.265878851,0,Auto,0,25,8,9457,225,274336,14541,6022.5,0.873003917,7,259795,0.252984,0.276885386,602.9945481,0.231298389,0,47
10/6/2013,57,78762,627,Employed,High School,36,18461,12,Married,2,Mortgage,320,0.523795599,1,1,0.395150565,0,Home,0,27,11,5945,318,33960,52351,6563.5,0.980376513,5,9910,0.169961,0.177526032,1690.33152,0.306289559,0,52
10/7/2013,37,39029,512,Employed,Associate,11,24889,36,Married,0,Own,382,0.194391165,2,1,0.269980369,0,Other,0,14,17,5049,7809,12858,134818,3252.416667,0.957640285,6,5433,0.253889,0.25247752,992.8465034,0.422715367,0,52
10/8/2013,31,99942,589,Employed,Associate,11,28878,24,Married,2,Mortgage,591,0.142637793,4,0,0.415625102,0,Auto,0,25,16,278,1023,28461,42078,8328.5,0.737820273,4,9220,0.209378,0.213666951,1489.121264,0.249759412,0,54
10/9/2013,52,139568,503,Employed,Bachelor,26,41961,36,Single,3,Rent,239,0.5936789,0,0,0.263427887,1,Debt Consolidation,0,24,5,2058,3798,360094,31867,11630.66667,0.804365543,3,328227,0.275461,0.273168111,1720.206708,0.168451798,1,47.2
10/10/2013,32,100761,439,Employed,High School,10,28699,36,Married,1,Own,270,0.121564503,3,2,0.278998346,0,Other,0,28,14,3835,794,79651,16076,4417.583333,0.891218294,4,63575,0.294199,0.308524848,1231.756626,0.339949812,0,48
10/11/2013,61,40948,647,Employed,Doctorate,38,37740,60,Divorced,0,Mortgage,274,0.244132307,3,0,0.186009227,0,Auto,0,14,2,1654,3380,582867,5150,3412.333333,0.803355504,4,577717,0.21924,0.263088,1136.862982,0.413459895,0,44
10/12/2013,48,37964,573,Employed,High School,24,33631,60,Single,1,Mortgage,244,0.512737005,2,2,0.364267171,0,Auto,1,23,18,1549,435,47749,20531,3163.666667,0.904136834,3,27218,0.252131,0.218218715,925.4487561,0.369649802,0,62
10/13/2013,34,26761,555,Employed,High School,13,23776,12,Divorced,3,Mortgage,460,0.110666308,4,1,0.512281842,0,Home,0,30,11,4141,2927,26028,16698,2230.083333,0.900177167,5,9330,0.211276,0.208151555,2211.76437,1.198055844,0,59
